clk,reset,startTransfer,startScan,startSystem,stateHex1,countHex1,stateHex2,countHex2
0,1,1,1,1, , , , 
1,0,1,1,1,L,-,L,-
0,0,1,1,1,L,-,L,-
1,0,1,1,0,L,-,L,-
0,0,1,1,0,L,-,L,-
1,0,1,1,1,S,-,L,-
0,0,1,1,1,S,-,L,-
1,0,1,1,1,S,-,L,-
0,0,1,1,1,S,-,L,-
1,0,1,0,1,S,-,L,-
0,0,1,0,1,S,-,L,-
1,0,1,1,1,C,-,L,-
0,0,1,1,1,C,-,L,-
1,0,1,1,1,C,1,L,-
0,0,1,1,1,C,1,L,-
1,0,1,1,1,C,2,L,-
0,0,1,1,1,C,2,L,-
1,0,1,1,1,C,3,L,-
0,0,1,1,1,C,3,L,-
1,0,1,1,1,C,4,L,-
0,0,1,1,1,C,4,L,-
1,0,1,1,1,C,5,L,-
0,0,1,1,1,C,5,L,-
1,0,1,1,1,C,6,L,-
0,0,1,1,1,C,6,L,-
1,0,1,1,1,C,7,L,-
0,0,1,1,1,C,7,L,-
1,0,1,1,1,C,8,L,-
0,0,1,1,1,C,8,L,-
1,0,1,1,1,C,9,S,-
0,0,1,1,1,C,9,S,-
1,0,1,1,1,C,H,C,-
0,0,1,1,1,C,H,C,-
1,0,1,1,1,d, ,C,1
0,0,1,1,1,d, ,C,1
1,0,1,1,1,d,-,C,2
0,0,1,1,1,d,-,C,2
1,0,1,1,1,d,-,C,3
0,0,1,1,1,d,-,C,3
1,0,1,1,1,d,-,C,4
0,0,1,1,1,d,-,C,4
1,0,1,1,1,d,-,C,5
0,0,1,1,1,d,-,C,5
1,0,1,1,1,d,-,C,6
0,0,1,1,1,d,-,C,6
1,0,1,1,1,F,-,C,7
0,0,1,1,1,F,-,C,7
1,0,1,1,1,F,1,C,8
0,0,1,1,1,F,1,C,8
1,0,1,1,1,F,2,C,9
0,0,1,1,1,F,2,C,9
1,0,1,1,1,F,3,C,H
0,0,1,1,1,F,3,C,H
1,0,1,1,1,L,4,d, 
0,0,1,1,1,L,4,d, 
1,0,1,1,1,L,-,d,-
0,0,1,1,1,L,-,d,-
1,0,1,1,1,L,-,d,-
0,0,1,1,1,L,-,d,-
1,0,1,1,1,L,-,d,-
0,0,1,1,1,L,-,d,-
1,0,1,1,1,L,-,d,-
0,0,1,1,1,L,-,d,-
1,0,1,1,1,L,-,d,-
